Seed,Spawn_Strategy,Initial_Drones_XY,Goal_X,Goal_Y,Optimal_Tick,Used_Tick,Map_Coverage_%,Spawn_Fail_Count,Backtrack_Count,Total_Spawned,Success
255811,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",15,14,7,8,23.63,49,12,32,True
640729,1,"[(15, 15)]",31,8,263,264,59.18,0,0,63,True
640729,2,"[(7, 15), (23, 15)]",31,8,57,58,29.3,0,0,22,True
640729,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",31,8,43,44,55.76,0,0,58,True
640729,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",31,8,9,10,18.65,0,0,31,True
640729,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",31,8,17,18,47.56,34,20,51,True
640729,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",31,8,15,16,41.11,87,40,32,True
482283,1,"[(15, 15)]",29,11,132,133,50.68,0,0,59,True
482283,2,"[(7, 15), (23, 15)]",29,11,12,13,8.3,0,0,13,True
482283,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",29,11,38,39,53.42,0,0,59,True
482283,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",29,11,6,7,13.18,0,0,26,True
482283,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",29,11,4,5,16.5,12,3,33,True
482283,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",9,18,1,2,7.03,33,2,32,True
611027,1,"[(15, 15)]",13,1,302,303,86.33,0,0,86,True
611027,2,"[(7, 15), (23, 15)]",13,1,122,123,72.75,0,0,73,True
611027,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",13,1,86,87,80.66,0,0,131,True
611027,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",13,1,36,37,64.16,0,0,88,True
611027,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",13,1,24,25,60.74,49,61,53,True
611027,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",13,1,4,5,15.62,45,5,32,True
295731,1,"[(15, 15)]",24,18,236,237,56.54,0,0,64,True
295731,2,"[(7, 15), (23, 15)]",24,18,6,7,3.91,0,0,11,True
295731,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",24,18,64,65,63.57,0,0,75,True
295731,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",24,18,50,51,79.69,4,3,122,True
295731,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",24,18,16,61,84.47,139,269,64,True
295731,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",24,18,8,9,26.76,64,26,32,True
125117,1,"[(15, 15)]",18,23,183,184,42.97,0,0,52,True
125117,2,"[(7, 15), (23, 15)]",18,23,107,108,42.97,0,0,84,True
125117,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",18,23,39,40,51.27,0,0,68,True
125117,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",18,23,5,6,11.23,0,0,28,True
125117,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",18,23,17,18,43.95,40,41,47,True
125117,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",18,23,13,14,37.3,92,32,32,True
883878,1,"[(15, 15)]",24,1,369,370,82.13,0,0,84,True
883878,2,"[(7, 15), (23, 15)]",24,1,91,92,57.52,0,0,66,True
883878,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",24,1,19,20,17.58,0,0,25,True
883878,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",24,1,15,16,31.05,0,0,54,True
883878,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",24,1,15,56,86.72,120,222,61,True
